product_id,product_name,product_picture,product_picture,product_category, product_price ,product_description1,product_description2,product_description3,product_description4,product_status,product_new,product_featured,product_sale_price,product_bulk_quantity,product_bulk_price,
322,Crab Meat (Red) 螃蟹肉 (蟹钳肉) 800g,322-1,322-2,shellfish, 55.00 ,,,,,true,,,0,0,0,
323,Crab Meat (White) 螃蟹肉 (白蟹肉) 800g,323-1,323-2,shellfish, 55.00 ,,,,,true,,,0,0,0,
324,Soft Shell Crab 软壳蟹 ±160g/nos*,324-1,324-2,shellfish, 7.20 ,order by nos,RM45/kg,*Estimated price only *Final price will be based on actual weight,,true,,,0,0,0,
325,Live Mud Crab Male 2nos/kg 肉螃蟹 (500g up)*,325-1,325-2,shellfish, Market Price ,order by nos,,*Final price will be based on actual weight,,false,,,0,0,0,
326,Live Mud Crab Male 3nos/kg 肉螃蟹 (300-400g)*,326-1,326-2,shellfish, Market Price ,order by nos,,*Final price will be based on actual weight,,false,,,0,0,0,
327,Live Mud Crab Male 4nos/kg 肉螃蟹 (250-300g)*,327-1,327-2,shellfish, Market Price ,order by nos,,*Final price will be based on actual weight,,false,,,0,0,0,
328,Live Mud Crab Female (Egg) Crab 蛋螃蟹 (300g up)*,328-1,328-2,shellfish, Market Price ,order by nos,,*Final price will be based on actual weight,,false,,,0,0,0,
329,King Crab 帝王蟹 400-600g,329-1,,shellfish, 50.00 ,,,,,false,,,0,0,0,
330,King Crab 帝王蟹 600-800g,330-1,,shellfish, 80.00 ,,,,,false,,,0,0,0,
331,King Crab 帝王蟹 800-1000g,331-1,,shellfish, 100.00 ,,,,,true,,,0,0,0,
332,King Crab 帝王蟹 1-1.2kg*,332-1,,shellfish, 129.60 ,RM108/kg,,*Estimated price only *Final price will be based on actual weight,,false,,,0,0,0,
333,King Crab 帝王蟹 1.2-1.4kg*,333-1,,shellfish, 151.20 ,RM108/kg,,*Estimated price only *Final price will be based on actual weight,,true,,true,0,0,0,
334,King Crab 帝王蟹 1.4-1.6kg*,334-1,,shellfish, 172.80 ,RM108/kg,,*Estimated price only *Final price will be based on actual weight,,false,,,0,0,0,
335,King Crab 帝王蟹 1.6-1.8kg*,335-1,,shellfish, 194.40 ,RM108/kg,,*Estimated price only *Final price will be based on actual weight,,false,,,0,0,0,
336,King Crab 帝王蟹 1.8-2kg*,336-1,,shellfish, 216.00 ,RM108/kg,,*Estimated price only *Final price will be based on actual weight,,false,,,0,0,0,
337,King Crab 帝王蟹 2kg up*,337-1,,shellfish, 237.60 ,RM108/kg,,*Estimated price only *Final price will be based on actual weight,,false,,,0,0,0,
400,Baby Octopus 小章鱼,400-1,,squid, 11.50 ,6-15pcs/pkt,,,,true,,,0,0,0,
401,Chuka Idako (Seasoned Baby Octopus) 腌制小章鱼 2kg,401-1,401-2,squid, 88.00 ,,,,,true,,,0,0,0,
402,Chuka Idako (Seasoned Baby Octopus) 腌制小章鱼 500g,402-1,402-2,squid, 25.00 ,,,,,true,,,0,0,0,
403,Cleaned Sotong 10/20 苏东 2kg,403-1,403-2,squid, 35.00 ,,,,,false,,,0,0,0,
404,Cleaned Sotong 10/20 苏东 1kg ,404-1,404-2,squid, 20.00 ,,,,,true,,,0,0,0,
405,Flower Squid 花枝 1kg,405-1,,squid, 18.00 ,,,,,true,,,0,0,0,
406,Spicy Squid 香辣大鱿鱼 400g,406-1,,squid, 17.00 ,,,,,true,,,0,0,0,
407,Squid Tentacle 鱿鱼须 500g,407-1,407-2,squid, 10.00 ,,,,,true,,,0,0,0,
500,Australian Beef Slice 牛肉片 500g,500-1,,meat, 30.00 ,,,,,true,,,0,0,0,
501,Breaded Chicken Chop 200g,501-1,,meat, 8.00 ,1pc/pkt,,,,true,,,0,0,0,
502,Chicken Burger Patty 汉堡肉片 1kg,502-1,,meat, 16.00 ,,,,,true,,,0,0,0,
503,Chicken Nuggets Tempura 鸡肉块 1kg,503-1,,meat, 16.00 ,,,,,true,,,0,0,0,
504,Crispy Popcorn Chicken 香酥鸡米花 1kg,504-1,,meat, 22.00 ,,,,,true,,,0,0,0,
